venv: /home/niflheim/s215142/thesis-venv/bin/activate
Heat bath temp: 2000
Heat bath temp: 1500
Heat bath temp: 1000
Heat bath temp: 500
Heat bath temp: 0
      Step     Time          Energy          fmax
BFGS:   28 18:45:07       16.887267        0.236692
BFGS:   29 18:45:07       16.894123        0.237291
BFGS:   30 18:45:07       16.912437        0.236673
BFGS:   31 18:45:08       16.865677        0.240657
BFGS:   32 18:45:08       16.834763        0.242466
BFGS:   33 18:45:08       16.843154        0.243657
BFGS:   34 18:45:08       16.830117        0.241722
BFGS:   35 18:45:08       16.823429        0.240810
BFGS:   36 18:45:08       16.822626        0.242012
Heat bath temp: 2000
Heat bath temp: 1500
Heat bath temp: 1000
Heat bath temp: 500
Heat bath temp: 0
      Step     Time          Energy          fmax
BFGS:    0 18:45:08       16.803497        0.283991
BFGS:   37 18:45:09       16.829647        0.242933
BFGS:    1 18:45:09       16.803407        0.283952
BFGS:   38 18:45:09       16.831788        0.243017
BFGS:    2 18:45:09       16.799688        0.279268
BFGS:   39 18:45:09       16.838124        0.242217
BFGS:    3 18:45:09       16.808296        0.274900
BFGS:   40 18:45:09       16.861577        0.241161
BFGS:    4 18:45:09       16.826244        0.270855
BFGS:   41 18:45:09       16.838308        0.242207
BFGS:    5 18:45:09       16.850227        0.267160
BFGS:   42 18:45:09       16.830833        0.243557
BFGS:    6 18:45:09       16.876917        0.263842
BFGS:   43 18:45:10       16.838197        0.245150
BFGS:    7 18:45:10       16.903112        0.260933
BFGS:   44 18:45:10       16.859672        0.247180
BFGS:    8 18:45:10       16.926079        0.258470
BFGS:   45 18:45:10       16.838100        0.245137
BFGS:    9 18:45:10       16.943968        0.256503
BFGS:   46 18:45:10       16.830775        0.243539
BFGS:   10 18:45:10       16.956198        0.255094
BFGS:   47 18:45:10       16.837890        0.245103
BFGS:   11 18:45:10       16.963413        0.254254
BFGS:   48 18:45:10       16.858201        0.247040
BFGS:   12 18:45:10       16.966312        0.253925
BFGS:   49 18:45:11       16.891240        0.249231
BFGS:   13 18:45:11       16.965957        0.253960
BFGS:   50 18:45:11       16.857842        0.247009
BFGS:   14 18:45:11       16.961632        0.254366
BFGS:   51 18:45:11       16.837400        0.245051
BFGS:   15 18:45:11       16.956924        0.254838
BFGS:   52 18:45:11       16.857159        0.246946
BFGS:   16 18:45:11       16.956971        0.254837
BFGS:   53 18:45:11       16.888420        0.249044
BFGS:   17 18:45:11       16.953020        0.255172
BFGS:   54 18:45:11       16.856292        0.246864
BFGS:   18 18:45:11       16.956555        0.254825
BFGS:   55 18:45:12       16.836785        0.244955
BFGS:   19 18:45:12       16.979381        0.253396
BFGS:   20 18:45:12       16.952263        0.255336
BFGS:   56 18:45:12       16.855138        0.246752
BFGS:   21 18:45:12       16.953289        0.257204
BFGS:   57 18:45:12       16.883857        0.248742
BFGS:   22 18:45:12       16.952101        0.255329
BFGS:   58 18:45:12       16.923820        0.250716
BFGS:   23 18:45:12       16.979346        0.253324
BFGS:   59 18:45:12       16.882501        0.248659
BFGS:   24 18:45:12       16.984291        0.253070
BFGS:   60 18:45:12       16.852599        0.246528
BFGS:   25 18:45:13       16.979457        0.253221
BFGS:   61 18:45:13       16.880549        0.248529
BFGS:   26 18:45:13       16.979327        0.252994
BFGS:   62 18:45:13       16.917311        0.250384
BFGS:   27 18:45:13       16.979967        0.252610
BFGS:   63 18:45:13       16.964594        0.253366
BFGS:   28 18:45:13       16.984777        0.252431
BFGS:   64 18:45:13       16.915574        0.250306
BFGS:   29 18:45:13       16.979559        0.252755
BFGS:   65 18:45:13       16.876715        0.248305
BFGS:   30 18:45:13       16.977196        0.252920
